text,abbreviation,full
Sechura Ecosystem Monitoring and Climate ObservationProject,SECCO,Sechura Ecosystem Monitoring and Climate ObservationProject (SECCO)
Study of Early Child Care and Youth Development,SECCYD,Study of Early Child Care and Youth Development (SECCYD)
Social and Economic Dimensions of an Aging Population,SEDAP,Social and Economic Dimensions of an Aging Population (SEDAP)
Southwest Educational Development Laboratory,SEDL,Southwest Educational Development Laboratory (SEDL)
South East England Development Agency,SEEDA,South East England Development Agency (SEEDA)
Southeast Fisheries Science Center,SEFSC,Southeast Fisheries Science Center (SEFSC)
Society of Economics of the Household,SEHO,Society of Economics of the Household (SEHO)
South East Health Technology Alliance,SEHTA,South East Health Technology Alliance (SEHTA)
SouthEast Marine Protected Area,SEMPA,SouthEast Marine Protected Area (SEMPA)
Sustainable Electric Networks and Sources of Energy,SENSE,Sustainable Electric Networks and Sources of Energy (SENSE)
Swedish eScience Research Centre,SeRC,Swedish eScience Research Centre (SeRC)
Swiss State Secretariat for Education Research and Innovation,SERI,Swiss State Secretariat for Education Research and Innovation (SERI)
Southeastern Regional Taxonomic Center,SERTC,Southeastern Regional Taxonomic Center (SERTC)
Society of Environmental Toxicology and Chemistry,SETAC,Society of Environmental Toxicology and Chemistry (SETAC)
Sustainable Energy Transitions,SETI,Sustainable Energy Transitions (SETI)
Scottish Funding Council,SFC,Scottish Funding Council (SFC)
Special Funds for Marine Renewable Energy,SFMRE,Special Funds for Marine Renewable Energy (SFMRE)
Swiss Federal Office of Energy,SFOE,Swiss Federal Office of Energy (SFOE)
Smoke Free Partnership,SFP,Smoke Free Partnership (SFP)
South Florida Water Management District,SFWMD,South Florida Water Management District (SFWMD)
South Florida Water Sustainability and Climate,SFWSC,South Florida Water Sustainability and Climate (SFWSC)
Secretaria General del Mar,SGM,Secretaria General del Mar (SGM)
Southern Alcohol HIV Research Consortium,SHARC,Southern Alcohol HIV Research Consortium (SHARC)
Shared Agencies Regulatory Evidence Programme,ShARE,Shared Agencies Regulatory Evidence Programme (ShARE)
Sustainable Higher Education Research Alliance,SHEBA,Sustainable Higher Education Research Alliance (SHEBA)
Scottish Higher Education Enhancement Committee,SHEEC,Scottish Higher Education Enhancement Committee (SHEEC)
Sustainable Higher Education Research Alliances,SHERA,Sustainable Higher Education Research Alliances (SHERA)
Social Science and Humanities Research Council,SHHRC,Social Science and Humanities Research Council (SHHRC)
St Helena Trust,SHNT,St Helena Trust (SHNT)
Swiss Household Panel,SHP,Swiss Household Panel (SHP)
Society for Human Resource Management,SHRM,Society for Human Resource Management (SHRM)
Soft and Hybrid Nanotechnology Experimental,SHyNE,Soft and Hybrid Nanotechnology Experimental (SHyNE)
Strategic Investment,SI,Strategic Investment (SI)
Social Implementation Program on Climate Change Adaptation Technology,SICAT,Social Implementation Program on Climate Change Adaptation Technology (SICAT)
Society for Integrated Coastal Management,SICOM,Society for Integrated Coastal Management (SICOM)
Strategic International Collaborative Research Program,SICORP,Strategic International Collaborative Research Program (SICORP)
Scottish Informatics and Computer Science Alliance,SICSA,Scottish Informatics and Computer Science Alliance (SICSA)
State Inpatient Databases,SID,State Inpatient Databases (SID)
Strategic Initiative for Developing Capacity in Ethical Review,SIDCER,Strategic Initiative for Developing Capacity in Ethical Review (SIDCER)
Small Island Developing States,SIDS,Small Island Developing States (SIDS)
Secretaria de Investigacion y Estudios Avanzados,SIEA,Secretaria de Investigacion y Estudios Avanzados (SIEA)
Italian Society of Economics Demography and Statistics,SIEDS,Italian Society of Economics Demography and Statistics (SIEDS)
Silicon Electronic and Photonic Integrated Circuit,SiEPIC,Silicon Electronic and Photonic Integrated Circuit (SiEPIC)
Social Innovation Fund,SIF,Social Innovation Fund (SIF)
Services Industriels de Geneve,SIG,Services Industriels de Geneve (SIG)
Smithsonian Institution Global Observatory,SIGEO,Smithsonian Institution Global Observatory (SIGEO)
Servicio de Impuestos Internos,SII,Servicio de Impuestos Internos (SII)
Strategic Initiative Modeling and Simulation,SIMaS,Strategic Initiative Modeling and Simulation (SIMaS)
Sustainable Intensification of Maize Legume Systems in Eastern Zambia,SIMLEZA,Sustainable Intensification of Maize Legume Systems in Eastern Zambia (SIMLEZA)
Sydney Institute of Marine Science,SIMS,Sydney Institute of Marine Science (SIMS)
Sapelo Island National Estuarine Research Reserve,SINERR,Sapelo Island National Estuarine Research Reserve (SINERR)
Singapore International Graduate Award,SINGA,Singapore International Graduate Award (SINGA)
Scripps Institution of Oceanography,SIO,Scripps Institution of Oceanography (SIO)
Society for Industrial and Organizational Psychology,SIOP,Society for Industrial and Organizational Psychology (SIOP)
State Intellectual Property Office,SIPO,State Intellectual Property Office (SIPO)
Survey of Program Participation,SIPP,Survey of Program Participation (SIPP)
Securities Industry Research Centre of AsiaPacific,SIRCA,Securities Industry Research Centre of AsiaPacific (SIRCA)
Sustainable Infrastructure Research and Development Center,SIRDC,Sustainable Infrastructure Research and Development Center (SIRDC)
Scottish Institute for Research in Economics,SIRE,Scottish Institute for Research in Economics (SIRE)
Social Innovation Research Fund,SIRF,Social Innovation Research Fund (SIRF)
Sharif Industrial Relation Office,SIRO,Sharif Industrial Relation Office (SIRO)
Social Innovation Think Tank,SITT,Social Innovation Think Tank (SITT)
Subsidieregeling Innovatieketen Water,SIW,Subsidieregeling Innovatieketen Water (SIW)
St Johns Island National Marine Laboratory,SJINML,St Johns Island National Marine Laboratory (SJINML)
SESAR Joint Undertaking,SJU,SESAR Joint Undertaking (SJU)
Study of Kuroshio Ecosystem Dynamics for Sustainable Fisheries,SKED,Study of Kuroshio Ecosystem Dynamics for Sustainable Fisheries (SKED)
Skills Knowledge Innovation Policy and Practice,SKIPPY,Skills Knowledge Innovation Policy and Practice (SKIPPY)
State Key Laboratory of Estuarine and Coastal Research,SKLEC,State Key Laboratory of Estuarine and Coastal Research (SKLEC)
State Key Laboratory of Software Engineering,SKLSE,State Key Laboratory of Software Engineering (SKLSE)
State and Local Area Integrated Telephone Survey,SLAITS,State and Local Area Integrated Telephone Survey (SLAITS)
Student Loans Company,SLC,Student Loans Company (SLC)
Strangford Lough Ecological Change Investigation,SLECI,Strangford Lough Ecological Change Investigation (SLECI)
Solent Local Enterprise Partnership,SLEP,Solent Local Enterprise Partnership (SLEP)
Offshore Wind Structural Lifecycle Industry Collaboration,SLIC,Offshore Wind Structural Lifecycle Industry Collaboration (SLIC)
Strategic Lean Implementation Methodology,SLIM,Strategic Lean Implementation Methodology (SLIM)
Sociolegal Studies Association,SLSA,Sociolegal Studies Association (SLSA)
Swedish Maritime Administration,SMA,Swedish Maritime Administration (SMA)
Soil Moisture Active Passive,SMAP,Soil Moisture Active Passive (SMAP)
NYU Social Media and Political Participation,SMaPP,NYU Social Media and Political Participation (SMaPP)
School for Marine Science and Technology,SMAST,School for Marine Science and Technology (SMAST)
Small and Medium Business Administration,SMBA,Small and Medium Business Administration (SMBA)
Helmholtz Portfolio Supercomputing and Modeling for the Human Brain,SMHB,Helmholtz Portfolio Supercomputing and Modeling for the Human Brain (SMHB)
Swedish Meteorological and Hydrological Institute,SMHI,Swedish Meteorological and Hydrological Institute (SMHI)
Singapore Maritime Institute,SMI,Singapore Maritime Institute (SMI)
Social Media in Strategic Communication,SMISC,Social Media in Strategic Communication (SMISC)
Society of Marine Mammalogy,SMM,Society of Marine Mammalogy (SMM)
Service Mer  Observation,SMO,Service Mer  Observation (SMO)
Swedish Medical Products Agency,SMPA,Swedish Medical Products Agency (SMPA)
School of Management Research Fund,SMRF,School of Management Research Fund (SMRF)
Smithsonian Marine Station at Fort Pierce,SMSFP,Smithsonian Marine Station at Fort Pierce (SMSFP)
Shallow Marine Surveys Group,SMSG,Shallow Marine Surveys Group (SMSG)
Sacramento Municipal Utilities District,SMUD,Sacramento Municipal Utilities District (SMUD)
Seed Money to Young Scientist for Research,SMYSR,Seed Money to Young Scientist for Research (SMYSR)
Society of Naval Architects and Marine Engineers,SNAME,Society of Naval Architects and Marine Engineers (SNAME)
Science for Nature and People,SNAP,Science for Nature and People (SNAP)
Swiss National Bank,SNB,Swiss National Bank (SNB)
St Helena Nature Conservation Group,SNCG,St Helena Nature Conservation Group (SNCG)
Swedish Network for European Studies in Economics and Business,SNEE,Swedish Network for European Studies in Economics and Business (SNEE)
Kresge Foundations Safety Net Enhancement Initiative,SNEI,Kresge Foundations Safety Net Enhancement Initiative (SNEI)
Swedish National Infrastructure for Computing,SNIC,Swedish National Infrastructure for Computing (SNIC)
Swiss Network for International Studies,SNIS,Swiss Network for International Studies (SNIS)
US Southeast National Marine Renewable Energy Center,SNMREC,US Southeast National Marine Renewable Energy Center (SNMREC)
Swire NOCS Ocean Monitoring System,SNOMS,Swire NOCS Ocean Monitoring System (SNOMS)
Stichting Nijmeegs Universiteitenfonds,SNUF,Stichting Nijmeegs Universiteitenfonds (SNUF)
Society of Actuaries,SoA,Society of Actuaries (SoA)
South American Office for Anticancer Drug Development,SOAD,South American Office for Anticancer Drug Development (SOAD)
School of Oriental and African Studies,SOAS,School of Oriental and African Studies (SOAS)
Save Our Bay Air and CanalsWaterways,SOBAC,Save Our Bay Air and CanalsWaterways (SOBAC)
Southern Ocean Carbon and Climate Observatory,SOCCO,Southern Ocean Carbon and Climate Observatory (SOCCO)
Strategic Organization Design,SOD,Strategic Organization Design (SOD)
School of Ocean and Earth Science and Technology,SOEST,School of Ocean and Earth Science and Technology (SOEST)
Southern Forest Resource Assessment Consortium,SOFAC,Southern Forest Resource Assessment Consortium (SOFAC)
Sexual Orientation and Gender Identity and Expression,SOGIE,Sexual Orientation and Gender Identity and Expression (SOGIE)
Ship and Ocean Industries R  D Center,SOIC,Ship and Ocean Industries R  D Center (SOIC)
Society of Labor Economists,SOLE,Society of Labor Economists (SOLE)
Ship of Opportunity Observation Program,SOOP,Ship of Opportunity Observation Program (SOOP)
Southern Ocean Observing System,SOOS,Southern Ocean Observing System (SOOS)
Surface Ocean Processes in the Anthropocene,SOPRAN,Surface Ocean Processes in the Anthropocene (SOPRAN)
Sou thern Ocean State Estimate,SOSE,Sou thern Ocean State Estimate (SOSE)
STRABAG Offshore Wind,SOW,STRABAG Offshore Wind (SOW)
Swiss Public Administration Network,SPAN,Swiss Public Administration Network (SPAN)
System of Promoting Appropriate National Dynamism for Agriculture and Nutrition,SPANDAN,System of Promoting Appropriate National Dynamism for Agriculture and Nutrition (SPANDAN)
Space and Political Agency Research Group,SPARG,Space and Political Agency Research Group (SPARG)
School for Primary Care Research,SPCR,School for Primary Care Research (SPCR)
Strategic Program for Ecosystem Research and Advice,SPERA,Strategic Program for Ecosystem Research and Advice (SPERA)
Sydney Partnership For Health Education Research and Enterprise,SPHERE,Sydney Partnership For Health Education Research and Enterprise (SPHERE)
Singapore Population Health Improvement Centre,SPHERIC,Singapore Population Health Improvement Centre (SPHERIC)
MRCCSO Social and Public Health Sciences Unit,SPHSU,MRCCSO Social and Public Health Sciences Unit (SPHSU)
School of Politics and International Relations,SPIR,School of Politics and International Relations (SPIR)
Strategic Partnership with Industry for Research and Training,SPIRT,Strategic Partnership with Industry for Research and Training (SPIRT)
Special Priority Program,SPP,Special Priority Program (SPP)
Hong Kong Strategic Public Policy Research,SPPR,Hong Kong Strategic Public Policy Research (SPPR)
Swedish Polar Research Secretariat,SPRS,Swedish Polar Research Secretariat (SPRS)
Society for the Psychological Study of Social Issues,SPSSI,Society for the Psychological Study of Social Issues (SPSSI)
Sociedade Portuguesa de Vida Selvagem,SPVS,Sociedade Portuguesa de Vida Selvagem (SPVS)
State Research Agency,SRA,State Research Agency (SRA)
Southern Regional Aquaculture Center,SRAC,Southern Regional Aquaculture Center (SRAC)
